Onderwerpen, Totale oppervlakte, Agrarisch terrein
Regio's, Perioden, ha, ha
Landgraaf, 2008, 2469, 765
Landgraaf, 2010, 2469, 746
Landgraaf, 2012, 2467, 734
Landgraaf, 2015, 2467, 726
Landsmeer, 1996, 2783, 1649
Landsmeer, 2000, 2649, 1527
Landsmeer, 2003, 2649, 1517
Landsmeer, 2006, 2649, 1502
Landsmeer, 2008, 2649, 1445
Landsmeer, 2010, 2649, 1518
Landsmeer, 2012, 2650, 1515
Landsmeer, 2015, 2650, 1510
Langedijk, 1996, 2756, 1453
Langedijk, 2000, 2699, 1341
Langedijk, 2003, 2699, 1357
Langedijk, 2006, 2699, 1276
Langedijk, 2008, 2699, 1257
Langedijk, 2010, 2699, 1246
Langedijk, 2012, 2703, 1198
Langedijk, 2015, 2703, 1182
Lansingerland, 1996, NaN, NaN
Lansingerland, 2000, NaN, NaN
Lansingerland, 2003, NaN, NaN
Lansingerland, 2006, NaN, NaN
Lansingerland, 2008, 5639, 3093
Lansingerland, 2010, 5639, 3090
Lansingerland, 2012, 5637, 2954
Lansingerland, 2015, 5637, 2943
Laren (NH.), 1996, 1239, 49
Laren (NH.), 2000, 1239, 48
Laren (NH.), 2003, 1239, 45
Laren (NH.), 2006, 1239, 51
Laren (NH.), 2008, 1239, 53
Laren (NH.), 2010, 1239, 49
Laren (NH.), 2012, 1241, 48
Laren (NH.), 2015, 1241, 48
Leek, 1996, 6427, 5400
Leek, 2000, 6427, 5345
Leek, 2003, 6427, 5311
Leek, 2006, 6427, 5277
Leek, 2008, 6427, 5205
Leek, 2010, 6427, 5208
Leek, 2012, 6428, 5200
Leek, 2015, 6428, 5128
Leerdam, 1996, 3432, 2814
Leerdam, 2000, 3432, 2784
Leerdam, 2003, 3432, 2760
Leerdam, 2006, 3432, 2740
Leerdam, 2008, 3432, 2732
Leerdam, 2010, 3432, 2728
Leerdam, 2012, 3442, 2726
Leerdam, 2015, 3442, 2715
Leeuwarden, 1996, 8411, 4920
Leeuwarden, 2000, 8411, 4666
Leeuwarden, 2003, 8410, 4578
Leeuwarden, 2006, 8410, 4416
Leeuwarden, 2008, 8410, 4384
Leeuwarden, 2010, 8410, 4346
Leeuwarden, 2012, 8395, 4230
Leeuwarden, 2015, 17023, 10324
Leeuwarderadeel, 1996, 4138, 3637
Leeuwarderadeel, 2000, 4138, 3621
Leeuwarderadeel, 2003, 4138, 3611
Leeuwarderadeel, 2006, 4138, 3596
Leeuwarderadeel, 2008, 4138, 3601
Leeuwarderadeel, 2010, 4138, 3601
Leeuwarderadeel, 2012, 4146, 3613
Leeuwarderadeel, 2015, 4146, 3597
Leiden, 1996, 2316, 323
Leiden, 2000, 2316, 316
Leiden, 2003, 2316, 292
Leiden, 2006, 2316, 275
Leiden, 2008, 2316, 263
Leiden, 2010, 2316, 253
Leiden, 2012, 2327, 252
Leiden, 2015, 2327, 239
Leiderdorp, 1996, 1216, 611
Leiderdorp, 2000, 1216, 599
Leiderdorp, 2003, 1216, 554
Leiderdorp, 2006, 1229, 530
Leiderdorp, 2008, 1229, 537
Leiderdorp, 2010, 1229, 537
Leiderdorp, 2012, 1228, 534
Leiderdorp, 2015, 1228, 524
Leidschendam-Voorburg, 1996, NaN, NaN
Leidschendam-Voorburg, 2000, NaN, NaN
Leidschendam-Voorburg, 2003, 3566, 1746
Leidschendam-Voorburg, 2006, 3568, 1738
Leidschendam-Voorburg, 2008, 3568, 1738
Leidschendam-Voorburg, 2010, 3568, 1740
Leidschendam-Voorburg, 2012, 3562, 1717
Leidschendam-Voorburg, 2015, 3562, 1703
Lelystad, 1996, 76539, 12747
Lelystad, 2000, 76539, 12268
Lelystad, 2003, 76539, 11651
Lelystad, 2006, 76539, 11552
Lelystad, 2008, 76539, 11402
Lelystad, 2010, 76539, 10971
Lelystad, 2012, 76545, 10937
Lelystad, 2015, 76545, 10951
Leudal, 1996, NaN, NaN
Leudal, 2000, NaN, NaN
Leudal, 2003, NaN, NaN
Leudal, 2006, NaN, NaN
Leudal, 2008, 16486, 11569
Leudal, 2010, 16486, 11486
Leudal, 2012, 16491, 11424
Leudal, 2015, 16491, 11333
Leusden, 1996, 6199, 3263
Leusden, 2000, 5894, 2967
Leusden, 2003, 5894, 2966
Leusden, 2006, 5894, 2934
Leusden, 2008, 5894, 2915
Leusden, 2010, 5894, 2865
Leusden, 2012, 5889, 2852
Leusden, 2015, 5889, 2847
Lingewaal, 1996, 5459, 4096
Lingewaal, 2000, 5459, 4049
Lingewaal, 2003, 5459, 3961
Lingewaal, 2006, 5459, 3945
Lingewaal, 2008, 5459, 3964
Lingewaal, 2010, 5459, 3907
Lingewaal, 2012, 5449, 3917
Lingewaal, 2015, 5449, 3976
Lingewaard, 1996, NaN, NaN
Lingewaard, 2000, NaN, NaN
Lingewaard, 2003, 6918, 4649
Lingewaard, 2006, 6918, 4600
Lingewaard, 2008, 6918, 4578
Lingewaard, 2010, 6918, 4519
Lingewaard, 2012, 6914, 4563
Lingewaard, 2015, 6914, 4560
Lisse, 1996, 1611, 858
Lisse, 2000, 1611, 840
Lisse, 2003, 1611, 842
Lisse, 2006, 1611, 848
Lisse, 2008, 1611, 827
Lisse, 2010, 1611, 832
Lisse, 2012, 1605, 826
Lisse, 2015, 1605, 825
Littenseradiel, 1996, 13257, 12553
Littenseradiel, 2000, 13257, 12510
Littenseradiel, 2003, 13257, 12487
Littenseradiel, 2006, 13257, 12482
Littenseradiel, 2008, 13257, 12468
Littenseradiel, 2010, 13257, 12458
Littenseradiel, 2012, 13264, 12466
Littenseradiel, 2015, 13264, 12429
Lochem, 1996, 12880, 9814
Lochem, 2000, 12880, 9732
Lochem, 2003, 12880, 9781
Lochem, 2006, 21602, 15998
Lochem, 2008, 21602, 15976
Lochem, 2010, 21602, 15925
Lochem, 2012, 21594, 15898
Lochem, 2015, 21594, 15910
Loon op Zand, 1996, 5218, 2459
Loon op Zand, 2000, 5071, 2340
Loon op Zand, 2003, 5071, 2353
Loon op Zand, 2006, 5072, 2343
Loon op Zand, 2008, 5072, 2321
Loon op Zand, 2010, 5072, 2271
Loon op Zand, 2012, 5071, 2263
Loon op Zand, 2015, 5071, 2248
Lopik, 1996, 7892, 7023
Lopik, 2000, 7892, 7015
Lopik, 2003, 7892, 6962
Lopik, 2006, 7892, 6927
Lopik, 2008, 7892, 6941
Lopik, 2010, 7892, 6935
Lopik, 2012, 7898, 6993
Lopik, 2015, 7898, 6959
Loppersum, 1996, 11199, 10363
Loppersum, 2000, 11199, 10362
Loppersum, 2003, 11199, 10326
Loppersum, 2006, 11199, 10258
Loppersum, 2008, 11199, 10266
Loppersum, 2010, 11199, 10255
Loppersum, 2012, 11199, 10239
Loppersum, 2015, 11199, 10298
Losser, 1996, 10017, 7307
Losser, 2000, 10015, 7206
Losser, 2003, 9964, 7196
Losser, 2006, 9964, 7186
Losser, 2008, 9964, 7194
Losser, 2010, 9964, 7166
Losser, 2012, 9962, 7145
Losser, 2015, 9962, 7116
Maasdriel, 1996, 2939, 2107
Maasdriel, 2000, 7549, 5385
Maasdriel, 2003, 7549, 5416
Maasdriel, 2006, 7549, 5366
Maasdriel, 2008, 7549, 5374
Maasdriel, 2010, 7549, 5372
Maasdriel, 2012, 7546, 5382
Maasdriel, 2015, 7546, 5351
Maasgouw, 1996, NaN, NaN
Maasgouw, 2000, NaN, NaN
Maasgouw, 2003, NaN, NaN
Maasgouw, 2006, NaN, NaN
Maasgouw, 2008, 5802, 2424
Maasgouw, 2010, 5802, 2400
Maasgouw, 2012, 5812, 2379
Maasgouw, 2015, 5812, 2382
Maassluis, 1996, 898, 162
Maassluis, 2000, 898, 121
Maassluis, 2003, 898, 158
Maassluis, 2006, 1011, 257
Maassluis, 2008, 1011, 227
Maassluis, 2010, 1011, 229
Maassluis, 2012, 1012, 215
Maassluis, 2015, 1012, 195
Maastricht, 1996, 5892, 2248
Maastricht, 2000, 6006, 2214
Maastricht, 2003, 6006, 2199
Maastricht, 2006, 6006, 2116
Maastricht, 2008, 6006, 2099
Maastricht, 2010, 6006, 2007
Maastricht, 2012, 6013, 1875
Maastricht, 2015, 6013, 1799
De Marne, 1996, 24031, 12251
De Marne, 2000, 24031, 12127
De Marne, 2003, 24031, 12116
De Marne, 2006, 24031, 12110
De Marne, 2008, 24031, 12145
De Marne, 2010, 24031, 12148
De Marne, 2012, 24033, 12136
De Marne, 2015, 24033, 12126
Marum, 1996, 6500, 5798
Marum, 2000, 6488, 5766
Marum, 2003, 6488, 5752
Marum, 2006, 6488, 5702
Marum, 2008, 6488, 5694
Marum, 2010, 6488, 5675
Marum, 2012, 6489, 5674
Marum, 2015, 6489, 5661
Medemblik, 1996, 10796, 495
Medemblik, 2000, 10796, 486
Medemblik, 2003, 10796, 471
Medemblik, 2006, 10796, 458
Medemblik, 2008, 17900, 6682
Medemblik, 2010, 17900, 6635
Medemblik, 2012, 25756, 9965
Medemblik, 2015, 25756, 9922
Meerssen, 1996, 2770, 1774
Meerssen, 2000, 2771, 1763
Meerssen, 2003, 2771, 1741
Meerssen, 2006, 2771, 1728
Meerssen, 2008, 2771, 1698
Meerssen, 2010, 2771, 1680
Meerssen, 2012, 2770, 1658
Meerssen, 2015, 2770, 1656
Menameradiel, 1996, NaN, NaN
Menameradiel, 2000, NaN, NaN
Menameradiel, 2003, NaN, NaN
Menameradiel, 2006, NaN, NaN
Menameradiel, 2008, NaN, NaN
Menameradiel, 2010, NaN, NaN
Menameradiel, 2012, 7003, 6060
Menameradiel, 2015, 7003, 6058
Menterwolde, 1996, 8162, 6858
Menterwolde, 2000, 8162, 6718
Menterwolde, 2003, 8162, 6678
Menterwolde, 2006, 8162, 6721
Menterwolde, 2008, 8162, 6727
Menterwolde, 2010, 8162, 6705
Menterwolde, 2012, 8162, 6727
Menterwolde, 2015, 8162, 6775
Meppel, 1996, 1464, 518
Meppel, 2000, 5698, 4237
Meppel, 2003, 5698, 4147
Meppel, 2006, 5698, 4075
Meppel, 2008, 5698, 4022
Meppel, 2010, 5698, 3999
Meppel, 2012, 5703, 4003
Meppel, 2015, 5703, 3951
Middelburg (Z.), 1996, 3286, 2042
Middelburg (Z.), 2000, 5305, 3243
Middelburg (Z.), 2003, 5305, 3193
Middelburg (Z.), 2006, 5305, 3109
Middelburg (Z.), 2008, 5305, 2962
Middelburg (Z.), 2010, 5305, 2918
Middelburg (Z.), 2012, 5304, 2894
Middelburg (Z.), 2015, 5304, 2864
Midden-Delfland, 1996, NaN, NaN
Midden-Delfland, 2000, NaN, NaN
Midden-Delfland, 2003, NaN, NaN
Midden-Delfland, 2006, 4938, 3870
Midden-Delfland, 2008, 4938, 3820
Midden-Delfland, 2010, 4938, 3833
Midden-Delfland, 2012, 4938, 3798
Midden-Delfland, 2015, 4938, 3781
Midden-Drenthe, 1996, NaN, NaN
Midden-Drenthe, 2000, 34582, 26147
Midden-Drenthe, 2003, 34582, 26103
Midden-Drenthe, 2006, 34582, 25668
Midden-Drenthe, 2008, 34582, 25674
Midden-Drenthe, 2010, 34582, 25299
Midden-Drenthe, 2012, 34587, 25277
Midden-Drenthe, 2015, 34587, 25149
Mill en Sint Hubert, 1996, 5308, 3930
Mill en Sint Hubert, 2000, 5308, 3892
Mill en Sint Hubert, 2003, 5308, 3873
Mill en Sint Hubert, 2006, 5308, 3871
Mill en Sint Hubert, 2008, 5308, 3859
Mill en Sint Hubert, 2010, 5308, 3851
Mill en Sint Hubert, 2012, 5317, 3844
Mill en Sint Hubert, 2015, 5317, 3832
Moerdijk, 1996, NaN, NaN
Moerdijk, 2000, 18399, 11942
Moerdijk, 2003, 18399, 11649
Moerdijk, 2006, 18399, 11689
Moerdijk, 2008, 18399, 11754
Moerdijk, 2010, 18399, 11732
Moerdijk, 2012, 18403, 11703
Moerdijk, 2015, 18403, 11595
Molenwaard, 1996, NaN, NaN
Molenwaard, 2000, NaN, NaN
Molenwaard, 2003, NaN, NaN
Molenwaard, 2006, NaN, NaN
Molenwaard, 2008, NaN, NaN
Molenwaard, 2010, NaN, NaN
Molenwaard, 2012, NaN, NaN
Molenwaard, 2015, 12648, 10492
Montferland, 1996, NaN, NaN
Montferland, 2000, NaN, NaN
Montferland, 2003, NaN, NaN
Montferland, 2006, 10654, 7481
Montferland, 2008, 10665, 7466
Montferland, 2010, 10665, 7426
Montferland, 2012, 10664, 7399
Montferland, 2015, 10664, 7384
Montfoort, 1996, 3822, 3364
Montfoort, 2000, 3822, 3353
Montfoort, 2003, 3822, 3348
Montfoort, 2006, 3822, 3337
Montfoort, 2008, 3822, 3329
Montfoort, 2010, 3822, 3326
Montfoort, 2012, 3820, 3300
Montfoort, 2015, 3820, 3285
Mook en Middelaar, 1996, 1884, 732
Mook en Middelaar, 2000, 1884, 711
Mook en Middelaar, 2003, 1884, 709
Mook en Middelaar, 2006, 1884, 711
Mook en Middelaar, 2008, 1884, 708
Mook en Middelaar, 2010, 1884, 712
Mook en Middelaar, 2012, 1881, 710
Mook en Middelaar, 2015, 1881, 710
Muiden, 1996, 3651, 981
Muiden, 2000, 3651, 982
Muiden, 2003, 3651, 941
Muiden, 2006, 3651, 956
Muiden, 2008, 3651, 955
Muiden, 2010, 3651, 956
Muiden, 2012, 3649, 948
Muiden, 2015, 3649, 801
Naarden, 1996, 3289, 704
Naarden, 2000, 3289, 699
Naarden, 2003, 3289, 693
Naarden, 2006, 3289, 690
Naarden, 2008, 3289, 685
Naarden, 2010, 3289, 682
Naarden, 2012, 3290, 672
Naarden, 2015, 3290, 655
Neder-Betuwe, 1996, NaN, NaN
Neder-Betuwe, 2000, NaN, NaN
Neder-Betuwe, 2003, NaN, NaN
Neder-Betuwe, 2006, 6811, 4894
Neder-Betuwe, 2008, 6811, 4888
Neder-Betuwe, 2010, 6811, 4887
Neder-Betuwe, 2012, 6816, 4848
Neder-Betuwe, 2015, 6746, 4771
Nederweert, 1996, 10179, 7591
Nederweert, 2000, 10179, 7567
Nederweert, 2003, 10179, 7537
Nederweert, 2006, 10179, 7532
Nederweert, 2008, 10179, 7478
Nederweert, 2010, 10179, 7453
Nederweert, 2012, 10178, 7376
Nederweert, 2015, 10178, 7333
Neerijnen, 1996, 7296, 5718
Neerijnen, 2000, 7296, 5698
Neerijnen, 2003, 7296, 5660
Neerijnen, 2006, 7296, 5652
Neerijnen, 2008, 7296, 5652
Neerijnen, 2010, 7296, 5682
Neerijnen, 2012, 7290, 5669
Neerijnen, 2015, 7290, 5674
Nieuwegein, 1996, 3205, 1159
Nieuwegein, 2000, 3205, 1089
Nieuwegein, 2003, 2568, 481
Nieuwegein, 2006, 2568, 450
Nieuwegein, 2008, 2568, 465
Nieuwegein, 2010, 2568, 389
Nieuwegein, 2012, 2565, 373
Nieuwegein, 2015, 2565, 332
Nieuwkoop, 1996, 3850, 2007
Nieuwkoop, 2000, 3850, 1985
Nieuwkoop, 2003, 3850, 1967
Nieuwkoop, 2006, 3850, 1979
Nieuwkoop, 2008, 9118, 6284
Nieuwkoop, 2010, 9118, 6277
Nieuwkoop, 2012, 9116, 6189
Nieuwkoop, 2015, 9116, 6135
Nijkerk, 1996, 6618, 4992
Nijkerk, 2000, 7205, 5195
Nijkerk, 2003, 7205, 5137
Nijkerk, 2006, 7205, 5124
Nijkerk, 2008, 7205, 5077
Nijkerk, 2010, 7205, 5056
Nijkerk, 2012, 7210, 5010
Nijkerk, 2015, 7204, 4933
Nijmegen, 1996, 4820, 658
Nijmegen, 2000, 5772, 1249
Nijmegen, 2003, 5772, 1174
Nijmegen, 2006, 5753, 1100
Nijmegen, 2008, 5753, 1085
Nijmegen, 2010, 5753, 1080
Nijmegen, 2012, 5760, 1014
Nijmegen, 2015, 5760, 766
Nissewaard, 1996, NaN, NaN
Nissewaard, 2000, NaN, NaN
Nissewaard, 2003, NaN, NaN
Nissewaard, 2006, NaN, NaN
Nissewaard, 2008, NaN, NaN
Nissewaard, 2010, NaN, NaN
Nissewaard, 2012, NaN, NaN
Nissewaard, 2015, 9873, 5504
Noord-Beveland, 1996, 12042, 7127
Noord-Beveland, 2000, 12061, 7065
Noord-Beveland, 2003, 12061, 7093
Noord-Beveland, 2006, 12029, 7090
Noord-Beveland, 2008, 12029, 7050
Noord-Beveland, 2010, 12029, 7051
Noord-Beveland, 2012, 12151, 7023
Noord-Beveland, 2015, 12151, 7006
Noordenveld, 1996, NaN, NaN
Noordenveld, 2000, 20536, 14697
Noordenveld, 2003, 20536, 14692
Noordenveld, 2006, 20536, 14699
Noordenveld, 2008, 20536, 14700
Noordenveld, 2010, 20533, 14614
Noordenveld, 2012, 20532, 14185
Noordenveld, 2015, 20532, 13047
Noordoostpolder, 1996, 60032, 41697
Noordoostpolder, 2000, 60032, 41533
Noordoostpolder, 2003, 59541, 40893
Noordoostpolder, 2006, 59541, 40909
Noordoostpolder, 2008, 59541, 40586
Noordoostpolder, 2010, 59541, 40457
Noordoostpolder, 2012, 59543, 40393
Noordoostpolder, 2015, 59542, 40239
Noordwijk, 1996, 5187, 923
Noordwijk, 2000, 5187, 905
Noordwijk, 2003, 5153, 857
Noordwijk, 2006, 5153, 833
Noordwijk, 2008, 5153, 806
Noordwijk, 2010, 5153, 818
Noordwijk, 2012, 5152, 813
Noordwijk, 2015, 5152, 813
Noordwijkerhout, 1996, 2340, 1566
Noordwijkerhout, 2000, 2340, 1536
Noordwijkerhout, 2003, 2340, 1523
Noordwijkerhout, 2006, 2340, 1504
Noordwijkerhout, 2008, 2340, 1477
Noordwijkerhout, 2010, 2340, 1482
Noordwijkerhout, 2012, 2342, 1476
Noordwijkerhout, 2015, 2342, 1462
Nuenen, Gerwen en Nederwetten, 1996, 3411, 2079
Nuenen, Gerwen en Nederwetten, 2000, 3411, 2037
Nuenen, Gerwen en Nederwetten, 2003, 3411, 2025
Nuenen, Gerwen en Nederwetten, 2006, 3411, 1989
Nuenen, Gerwen en Nederwetten, 2008, 3411, 1990
Nuenen, Gerwen en Nederwetten, 2010, 3411, 1953
Nuenen, Gerwen en Nederwetten, 2012, 3394, 1939
Nuenen, Gerwen en Nederwetten, 2015, 3394, 1913
Nunspeet, 1996, 12949, 3114
Nunspeet, 2000, 12949, 3090
Nunspeet, 2003, 12949, 3094
Nunspeet, 2006, 12949, 3079
Nunspeet, 2008, 12949, 3080
Nunspeet, 2010, 12949, 3071
Nunspeet, 2012, 12953, 3060
Nunspeet, 2015, 12953, 3027
Nuth, 1996, 3318, 2651
Nuth, 2000, 3317, 2623
Nuth, 2003, 3317, 2595
Nuth, 2006, 3317, 2592
Nuth, 2008, 3317, 2569
Nuth, 2010, 3317, 2567
Nuth, 2012, 3313, 2562
Nuth, 2015, 3313, 2557
Oegstgeest, 1996, 775, 225
Oegstgeest, 2000, 775, 191
Oegstgeest, 2003, 775, 185
Oegstgeest, 2006, 775, 167
Oegstgeest, 2008, 775, 155
Oegstgeest, 2010, 775, 143
Oegstgeest, 2012, 797, 129
Oegstgeest, 2015, 797, 131
Oirschot, 1996, 6045, 3830
Oirschot, 2000, 10285, 6033
Oirschot, 2003, 10285, 5958
Oirschot, 2006, 10285, 5956
Oirschot, 2008, 10285, 5934
Oirschot, 2010, 10285, 5874
Oirschot, 2012, 10284, 5852
Oirschot, 2015, 10284, 5804
Oisterwijk, 1996, 2791, 1035
Oisterwijk, 2000, 6511, 3714
Oisterwijk, 2003, 6511, 3689
Oisterwijk, 2006, 6511, 3700
Oisterwijk, 2008, 6511, 3700
Oisterwijk, 2010, 6511, 3677
Oisterwijk, 2012, 6513, 3670
Oisterwijk, 2015, 6513, 3625
Oldambt, 1996, NaN, NaN
Oldambt, 2000, NaN, NaN
Oldambt, 2003, NaN, NaN
Oldambt, 2006, NaN, NaN
Oldambt, 2008, NaN, NaN
Oldambt, 2010, 29642, 17991
Oldambt, 2012, 29596, 18102
Oldambt, 2015, 29596, 18009
Oldebroek, 1996, 9885, 5885
Oldebroek, 2000, 9885, 5874
Oldebroek, 2003, 9885, 5858
Oldebroek, 2006, 9885, 5846
Oldebroek, 2008, 9885, 5795
Oldebroek, 2010, 9885, 5750
Oldebroek, 2012, 9884, 5765
Oldebroek, 2015, 9884, 5758
Oldenzaal, 1996, 1601, 445
Oldenzaal, 2000, 1601, 405
Oldenzaal, 2003, 2198, 730
Oldenzaal, 2006, 2198, 728
Oldenzaal, 2008, 2198, 724
Oldenzaal, 2010, 2198, 727
Oldenzaal, 2012, 2195, 706
Oldenzaal, 2015, 2195, 707
Olst-Wijhe, 1996, NaN, NaN
Olst-Wijhe, 2000, NaN, NaN
Olst-Wijhe, 2003, 11838, 9759
Olst-Wijhe, 2006, 11838, 9747
Olst-Wijhe, 2008, 11838, 9707
Olst-Wijhe, 2010, 11838, 9672
Olst-Wijhe, 2012, 11837, 9652
Olst-Wijhe, 2015, 11837, 9608
Ommen, 1996, 18847, 12092
Ommen, 2000, 18198, 11494
Ommen, 2003, 18198, 11471
Ommen, 2006, 18198, 11476
Ommen, 2008, 18198, 11449
Ommen, 2010, 18198, 11375
Ommen, 2012, 18201, 11340
Ommen, 2015, 18201, 11332
Onderbanken, 1996, 2124, 1406
Onderbanken, 2000, 2124, 1411
Onderbanken, 2003, 2124, 1399
Onderbanken, 2006, 2124, 1402
Onderbanken, 2008, 2124, 1395
Onderbanken, 2010, 2124, 1401
Onderbanken, 2012, 2124, 1401
Onderbanken, 2015, 2124, 1375
Oost Gelre, 1996, NaN, NaN
Oost Gelre, 2000, NaN, NaN
Oost Gelre, 2003, NaN, NaN
Oost Gelre, 2006, NaN, NaN
Oost Gelre, 2008, 11019, 9072
Oost Gelre, 2010, 11019, 9085
Oost Gelre, 2012, 11012, 9056
Oost Gelre, 2015, 11012, 9012
Oosterhout, 1996, 7142, 3754
Oosterhout, 2000, 7309, 3569
Oosterhout, 2003, 7309, 3515
Oosterhout, 2006, 7309, 3395
Oosterhout, 2008, 7309, 3376
Oosterhout, 2010, 7309, 3385
Oosterhout, 2012, 7309, 3364
Oosterhout, 2015, 7309, 3320
Ooststellingwerf, 1996, 22608, 16696
Ooststellingwerf, 2000, 22608, 16539
Ooststellingwerf, 2003, 22608, 16721
Ooststellingwerf, 2006, 22608, 16663
Ooststellingwerf, 2008, 22608, 16649
Ooststellingwerf, 2010, 22608, 16606
Ooststellingwerf, 2012, 22611, 16543
Ooststellingwerf, 2015, 22611, 16286
Oostzaan, 1996, 1613, 549
Oostzaan, 2000, 1613, 547
Oostzaan, 2003, 1613, 546
Oostzaan, 2006, 1613, 537
Oostzaan, 2008, 1613, 531
Oostzaan, 2010, 1613, 537
Oostzaan, 2012, 1608, 526
Oostzaan, 2015, 1608, 522
Opmeer, 1996, 4199, 3787
Opmeer, 2000, 4199, 3764
Opmeer, 2003, 4198, 3721
Opmeer, 2006, 4198, 3698
Opmeer, 2008, 4198, 3701
Opmeer, 2010, 4198, 3686
Opmeer, 2012, 4194, 3687
Opmeer, 2015, 4194, 3661
Opsterland, 1996, 22766, 18221
Opsterland, 2000, 22768, 18037
Opsterland, 2003, 22768, 17988
Opsterland, 2006, 22768, 17955
Opsterland, 2008, 22768, 17920
Opsterland, 2010, 22768, 17891
Opsterland, 2012, 22764, 17869
Opsterland, 2015, 22764, 17745
Oss, 1996, 6194, 3483
Oss, 2000, 6174, 3433
Oss, 2003, 10442, 6522
Oss, 2006, 10442, 6522
Oss, 2008, 10442, 6445
Oss, 2010, 10442, 6386
Oss, 2012, 15987, 10879
Oss, 2015, 17093, 11665
Oud-Beijerland, 1996, 1961, 1314
Oud-Beijerland, 2000, 1961, 1250
Oud-Beijerland, 2003, 1961, 1236
Oud-Beijerland, 2006, 1961, 1224
Oud-Beijerland, 2008, 1961, 1212
Oud-Beijerland, 2010, 1961, 1189
Oud-Beijerland, 2012, 1961, 1202
Oud-Beijerland, 2015, 1961, 1202
Oude IJsselstreek, 1996, NaN, NaN
Oude IJsselstreek, 2000, NaN, NaN
Oude IJsselstreek, 2003, NaN, NaN
Oude IJsselstreek, 2006, 13787, 11384
Oude IJsselstreek, 2008, 13787, 11323
Oude IJsselstreek, 2010, 13787, 11321
Oude IJsselstreek, 2012, 13795, 11281
Oude IJsselstreek, 2015, 13795, 11209
Ouder-Amstel, 1996, 2618, 1695
Ouder-Amstel, 2000, 2618, 1680
Ouder-Amstel, 2003, 2618, 1630
Ouder-Amstel, 2006, 2581, 1614
Ouder-Amstel, 2008, 2581, 1599
Ouder-Amstel, 2010, 2581, 1606
Ouder-Amstel, 2012, 2578, 1604
Ouder-Amstel, 2015, 2578, 1598
Oudewater, 1996, 4016, 3695
Oudewater, 2000, 4016, 3689
Oudewater, 2003, 4016, 3673
Oudewater, 2006, 4016, 3654
Oudewater, 2008, 4016, 3654
Oudewater, 2010, 4016, 3623
Oudewater, 2012, 4010, 3607
Oudewater, 2015, 4010, 3582
Overbetuwe, 1996, NaN, NaN
Overbetuwe, 2000, NaN, NaN
Overbetuwe, 2003, 11498, 8748
Overbetuwe, 2006, 11518, 8744
Overbetuwe, 2008, 11518, 8691
Overbetuwe, 2010, 11518, 8675
Overbetuwe, 2012, 11508, 8641
Overbetuwe, 2015, 11508, 8628
Papendrecht, 1996, 1077, 206
Papendrecht, 2000, 1077, 170
Papendrecht, 2003, 1077, 142
Papendrecht, 2006, 1077, 140
Papendrecht, 2008, 1077, 141
Papendrecht, 2010, 1077, 135
Papendrecht, 2012, 1079, 136
Papendrecht, 2015, 1079, 136
Peel en Maas, 1996, NaN, NaN
Peel en Maas, 2000, NaN, NaN
Peel en Maas, 2003, NaN, NaN
Peel en Maas, 2006, NaN, NaN
Peel en Maas, 2008, NaN, NaN
Peel en Maas, 2010, 16131, 11353
Peel en Maas, 2012, 16135, 11230
Peel en Maas, 2015, 16135, 11221
Pekela, 1996, 5020, 4071
Pekela, 2000, 5020, 3997
Pekela, 2003, 5020, 3975
Pekela, 2006, 5020, 3973
Pekela, 2008, 5020, 3975
Pekela, 2010, 5020, 3967
Pekela, 2012, 5020, 3990
Pekela, 2015, 5020, 4013
Pijnacker-Nootdorp, 1996, NaN, NaN
Pijnacker-Nootdorp, 2000, NaN, NaN
Pijnacker-Nootdorp, 2003, 3860, 2478
Pijnacker-Nootdorp, 2006, 3860, 2325
Pijnacker-Nootdorp, 2008, 3860, 2258
Pijnacker-Nootdorp, 2010, 3860, 2288
Pijnacker-Nootdorp, 2012, 3861, 2193
Pijnacker-Nootdorp, 2015, 3862, 2220
Purmerend, 1996, 2322, 443
Purmerend, 2000, 2456, 465
Purmerend, 2003, 2456, 384
Purmerend, 2006, 2456, 389
Purmerend, 2008, 2456, 379
Purmerend, 2010, 2456, 384
Purmerend, 2012, 2456, 263
Purmerend, 2015, 2456, 253
Putten, 1996, 8745, 4805
Putten, 2000, 8745, 4758
Putten, 2003, 8745, 4815
Putten, 2006, 8745, 4806
Putten, 2008, 8745, 4790
Putten, 2010, 8745, 4747
Putten, 2012, 8741, 4738
Putten, 2015, 8750, 4707
Raalte, 1996, 13869, 11514
Raalte, 2000, 13574, 11184
Raalte, 2003, 17231, 14152
Raalte, 2006, 17231, 14092
Raalte, 2008, 17231, 14079
Raalte, 2010, 17231, 14024
Raalte, 2012, 17229, 13978
Raalte, 2015, 17229, 13947
Reimerswaal, 1996, 24415, 7937
Reimerswaal, 2000, 24333, 7856
Reimerswaal, 2003, 24318, 7701
Reimerswaal, 2006, 24308, 7578
Reimerswaal, 2008, 24308, 7404
Reimerswaal, 2010, 24308, 7586
Reimerswaal, 2012, 24242, 7568
Reimerswaal, 2015, 24242, 7556
Renkum, 1996, 4712, 1687
Renkum, 2000, 4712, 1690
Renkum, 2003, 4712, 1565
Renkum, 2006, 4712, 1569
Renkum, 2008, 4712, 1557
Renkum, 2010, 4712, 1563
Renkum, 2012, 4723, 1549
Renkum, 2015, 4723, 1535
